State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Rural_Households,Urban_Households,Sex Ratio,Literacy rate
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,607188,480204,389117,196819,192298,302554,152939,149615,513311,343276,802869,294337,1520553,128751,3175,322,84,3778,349704,97644,97.35622464598028,65.52701608237881
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,720637,587903,392595,198299,194296,233112,117808,115304,585639,289568,1070290,295873,1658465,265805,5420,307,164,6417,354680,176011,97.23205596107056,67.25993409396159
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,711776,589888,177855,89137,88718,87548,44173,43375,543776,241057,1062190,207642,1390020,386834,28747,1486,715,29037,199707,283397,97.07759019895306,70.47362160622797
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,397178,302999,174196,87745,86451,61654,30975,30679,310412,185310,568848,200310,907750,143665,3432,231,79,5993,180066,111906,98.18969481352404,65.77087462543562
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,828359,599009,648782,330091,318691,65259,32830,32429,680001,407027,1479298,415267,2011014,513125,8344,826,9589,4865,400704,199303,97.1435485171941,55.61912243417243
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,668836,556420,345031,169961,175070,32329,15986,16343,560452,343128,872841,165910,1630814,120011,15611,289,623,5820,496103,132878,101.02832854457617,68.9732895524203
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,603793,481650,219976,112212,107764,141380,72109,69271,490731,239335,867602,311263,1281878,297927,2406,419,68,9834,315076,98488,95.04497465597562,67.93920889696733
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,215302,197575,73584,35759,37825,58054,28510,29544,172100,106838,275581,15153,448986,87274,17130,139,126,250,181182,31792,101.93111635494961,74.4567814628534
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,564110,452109,465867,232546,233321,78875,39997,38878,454048,263824,818529,201233,1305431,199873,26722,253,150,2494,326567,151042,97.88883507900607,66.14282339050807
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,468785,340300,258608,129341,129267,164271,82761,81510,387974,266792,735154,273016,1218024,161770,4081,296,85,2898,272968,64681,98.58099284781534,58.210904224703576
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,638668,510981,265294,131675,133619,22402,11310,11092,575203,296205,934361,216159,1712695,77801,8506,322,299,3607,458867,103435,99.51374732759906,63.66534146947921
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1063766,898414,536643,269331,267312,334547,166697,167850,921803,392465,1686859,311002,2631985,290549,39361,1255,16194,14419,540596,380386,98.53975919555438,65.38143837298455
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,577213,402556,400933,200359,200574,367071,182101,184970,530373,373040,1025399,383526,1634062,272022,10394,538,2265,4156,330446,125402,99.97822730896796,50.79650064391967
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,674938,588078,308158,153546,154612,65412,32707,32705,534487,246111,972155,246464,1479424,234664,26521,400,120,9234,352444,201662,99.76328191334774,72.058983781514
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1006024,807367,506901,254535,252366,209559,105265,104294,837512,517134,1324334,352286,2413812,245923,9130,477,187,5067,685443,204799,98.35568646092015,67.68960574547029
